Date,ID,Stock
2026-07-02T11:11:40,9714ки,10
2026-07-02T11:11:40,7397ки,1
2026-07-02T11:11:40,11961ки,1
2026-07-02T11:11:40,4124ки,2
2026-07-02T11:11:40,2218ки,4
2026-07-02T11:11:40,1934ки,4
2026-07-02T11:11:40,1777ки,0
2026-07-02T11:11:40,6815ки,1
2026-07-02T11:11:40,11931ки,1
2026-07-02T11:11:40,5563ки,7
2026-07-02T11:11:40,11814ки,1
2026-07-02T11:11:40,5184ки,10
2026-07-02T11:11:40,9045ки,1
2026-07-02T11:11:40,4925ки,0
2026-07-02T11:11:40,5687з,1
2026-07-02T11:11:40,4450ки,2
2026-07-02T11:11:40,8728ки,20
2026-07-02T11:11:40,32943з,1
2026-07-02T11:11:40,1200з,1
2026-07-02T11:11:40,8330ки,0
2026-07-02T11:11:40,2118ки,3
2026-07-02T11:11:40,19949ки,1
2026-07-02T11:11:40,11574ки,5
2026-07-02T11:11:40,2740з,1
2026-07-02T11:11:40,5518з,1
2026-07-02T11:11:40,5304з,1
2026-07-02T11:11:40,2923ки,0
2026-07-02T11:11:40,521ки,2
2026-07-02T11:11:40,2349ки,0
2026-07-02T11:11:40,3454ки,4
2026-07-02T11:11:40,19574ки,9
2026-07-02T11:11:40,3617ки,4
2026-07-02T11:11:40,19808ки,1
2026-07-02T11:11:40,19849ки,2
2026-07-02T11:11:40,19810ки,2
2026-07-02T11:11:40,19812ки,1
2026-07-02T11:11:40,8765ки,1
2026-07-02T11:11:40,2847ки,1
2026-07-02T11:11:40,19885ки,1
2026-07-02T11:11:40,6473з,4
2026-07-02T11:11:40,1581ки,1
2026-07-02T11:11:40,5816ки,2
2026-07-02T11:11:40,6544з,1
2026-07-02T11:11:40,6260з,1
2026-07-02T11:11:40,9019з,1
2026-07-02T11:11:40,7431з,1
2026-07-02T11:11:40,10855ки,6
2026-07-02T11:11:40,11235ки,2
2026-07-02T11:11:40,19857ки,1
2026-07-02T11:11:40,9310з,1
2026-07-02T11:11:40,5081з,1
2026-07-02T11:11:40,7907з,1
2026-07-02T11:11:40,5320з,1
2026-07-02T11:11:40,20000ки,0
2026-07-02T11:11:40,7483з,1
2026-07-02T11:11:40,38817з,1
2026-07-02T11:11:40,2248з,2
2026-07-02T11:11:40,7691з,1
2026-07-02T11:11:40,19815ки,2
2026-07-02T11:11:40,19816ки,2
2026-07-02T11:11:40,10355ки,8
2026-07-02T11:11:40,8647з,1
2026-07-02T11:11:40,6586з,3
2026-07-02T11:11:40,8408ки,1
2026-07-02T11:11:40,12052ки,1
2026-07-02T11:11:40,12053ки,1
2026-07-02T11:11:40,18681ки,1
2026-07-02T11:11:40,5936ки,10
2026-07-02T11:11:40,19553ки,2
2026-07-02T11:11:40,6639ки,1
2026-07-02T11:11:40,2782ки,1
2026-07-02T11:11:40,8676ки,3
2026-07-02T11:11:40,721з,1
2026-07-02T11:11:40,1825ки,2
2026-07-02T11:11:40,3762з,1
2026-07-02T11:11:40,1635з,1
2026-07-02T11:11:40,7142з,1
2026-07-02T11:11:40,6983з,4
2026-07-02T11:11:40,5140з,10
2026-07-02T11:11:40,5062з,6
2026-07-02T11:11:40,841з,1
2026-07-02T11:11:40,1418з,2
2026-07-02T11:11:40,6413з,1
2026-07-02T11:11:40,8693з,1
2026-07-02T11:11:40,4292з,1
